example_id                                                      | status  | run_time        |
--------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/api_auth/clients_controller_spec.rb[1:1:1]   | passed  | 0.01367 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:2:1]   | passed  | 0.00919 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:3:1]   | passed  | 0.00419 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:4:1]   | passed  | 0.0104 seconds  |
./spec/controllers/api_auth/clients_controller_spec.rb[1:5:1:1] | passed  | 0.00902 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:5:1:2] | passed  | 0.01089 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:5:2:1] | passed  | 0.04538 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:6:1:1] | passed  | 0.01712 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:6:1:2] | passed  | 0.00852 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:6:2:1] | passed  | 0.00905 seconds |
./spec/controllers/api_auth/clients_controller_spec.rb[1:7:1]   | passed  | 0.0088 seconds  |
./spec/controllers/api_auth/clients_controller_spec.rb[1:7:2]   | passed  | 0.00957 seconds |
./spec/models/api_auth/client_spec.rb[1:1]                      | pending | 0.00002 seconds |
./spec/routing/api_auth/clients_routing_spec.rb[1:1:1]          | failed  | 0.00141 seconds |
./spec/routing/api_auth/clients_routing_spec.rb[1:1:2]          | failed  | 0.00104 seconds |
./spec/routing/api_auth/clients_routing_spec.rb[1:1:3]          | failed  | 0.00141 seconds |
./spec/routing/api_auth/clients_routing_spec.rb[1:1:4]          | failed  | 0.00148 seconds |
./spec/routing/api_auth/clients_routing_spec.rb[1:1:5]          | failed  | 0.00128 seconds |
./spec/routing/api_auth/clients_routing_spec.rb[1:1:6]          | failed  | 0.00284 seconds |
./spec/routing/api_auth/clients_routing_spec.rb[1:1:7]          | failed  | 0.00104 seconds |
./spec/routing/api_auth/clients_routing_spec.rb[1:1:8]          | failed  | 0.03069 seconds |
./spec/views/api_auth/clients/edit.html.erb_spec.rb[1:1]        | failed  | 0.00239 seconds |
./spec/views/api_auth/clients/index.html.erb_spec.rb[1:1]       | failed  | 0.00298 seconds |
./spec/views/api_auth/clients/new.html.erb_spec.rb[1:1]         | failed  | 0.00286 seconds |
./spec/views/api_auth/clients/show.html.erb_spec.rb[1:1]        | failed  | 0.01133 seconds |
